Age_group,Region,Year,Deaths
Under 1 year,ACT,2014,14
Under 1 year,ACT,2015,19
Under 1 year,ACT,2016,23
Under 1 year,ACT,2017,16
Under 1 year,ACT,2018,17
Under 1 year,ACT,2019,7
Under 1 year,ACT,2020,14
Under 1 year,ACT,2021,19
Under 1 year,ACT,2022,19
Under 1 year,ACT,2023,31
Under 1 year,Aust.,2014,1049
Under 1 year,Aust.,2015,977
Under 1 year,Aust.,2016,969
Under 1 year,Aust.,2017,1040
Under 1 year,Aust.,2018,959
Under 1 year,Aust.,2019,978
Under 1 year,Aust.,2020,932
Under 1 year,Aust.,2021,1000
Under 1 year,Aust.,2022,943
Under 1 year,Aust.,2023,918
Under 1 year,NSW,2014,342
Under 1 year,NSW,2015,307
Under 1 year,NSW,2016,255
Under 1 year,NSW,2017,324
Under 1 year,NSW,2018,281
Under 1 year,NSW,2019,341
Under 1 year,NSW,2020,287
Under 1 year,NSW,2021,320
Under 1 year,NSW,2022,255
Under 1 year,NSW,2023,241
Under 1 year,NT,2014,22
Under 1 year,NT,2015,27
Under 1 year,NT,2016,30
Under 1 year,NT,2017,36
Under 1 year,NT,2018,35
Under 1 year,NT,2019,25
Under 1 year,NT,2020,32
Under 1 year,NT,2021,30
Under 1 year,NT,2022,27
Under 1 year,NT,2023,24
Under 1 year,Qld,2014,273
Under 1 year,Qld,2015,256
Under 1 year,Qld,2016,244
Under 1 year,Qld,2017,255
Under 1 year,Qld,2018,215
Under 1 year,Qld,2019,247
Under 1 year,Qld,2020,242
Under 1 year,Qld,2021,244
Under 1 year,Qld,2022,274
Under 1 year,Qld,2023,277
Under 1 year,SA,2014,60
Under 1 year,SA,2015,55
Under 1 year,SA,2016,60
Under 1 year,SA,2017,59
Under 1 year,SA,2018,66
Under 1 year,SA,2019,44
Under 1 year,SA,2020,41
Under 1 year,SA,2021,54
Under 1 year,SA,2022,60
Under 1 year,SA,2023,45
Under 1 year,Tas.,2014,31
Under 1 year,Tas.,2015,22
Under 1 year,Tas.,2016,26
Under 1 year,Tas.,2017,21
Under 1 year,Tas.,2018,22
Under 1 year,Tas.,2019,18
Under 1 year,Tas.,2020,20
Under 1 year,Tas.,2021,21
Under 1 year,Tas.,2022,15
Under 1 year,Tas.,2023,24
Under 1 year,Vic.,2014,221
Under 1 year,Vic.,2015,200
Under 1 year,Vic.,2016,215
Under 1 year,Vic.,2017,243
Under 1 year,Vic.,2018,234
Under 1 year,Vic.,2019,214
Under 1 year,Vic.,2020,220
